leccionId,titulo,descripcion,duracionMin,numero
L001,Lección 1,Contenido teórico y ejercicios prácticos.,10,1
L002,Lección 2,Contenido teórico y ejercicios prácticos.,31,2
L003,Lección 3,Contenido teórico y ejercicios prácticos.,17,3
L004,Lección 4,Contenido teórico y ejercicios prácticos.,35,4
L005,Lección 5,Contenido teórico y ejercicios prácticos.,16,5
L006,Lección 6,Contenido teórico y ejercicios prácticos.,10,6
L007,Lección 7,Contenido teórico y ejercicios prácticos.,27,7
L008,Lección 8,Contenido teórico y ejercicios prácticos.,31,8
L009,Lección 9,Contenido teórico y ejercicios prácticos.,10,9
L010,Lección 10,Contenido teórico y ejercicios prácticos.,30,10
L011,Lección 11,Contenido teórico y ejercicios prácticos.,21,11
L012,Lección 12,Contenido teórico y ejercicios prácticos.,23,12
L013,Lección 13,Contenido teórico y ejercicios prácticos.,14,13
L014,Lección 14,Contenido teórico y ejercicios prácticos.,30,14
L015,Lección 15,Contenido teórico y ejercicios prácticos.,34,15
L016,Lección 16,Contenido teórico y ejercicios prácticos.,17,16
L017,Lección 17,Contenido teórico y ejercicios prácticos.,23,17
L018,Lección 18,Contenido teórico y ejercicios prácticos.,18,18
L019,Lección 19,Contenido teórico y ejercicios prácticos.,19,19
L020,Lección 20,Contenido teórico y ejercicios prácticos.,34,20
